question,answer,category,intent
How do I apply for PDEU admission?,You can apply online through the official PDEU portal at https://pdeu.ac.in/admissions. Fill the application form and upload required documents.,admission,admission_process
What is the admission process for PDEU?,Complete online application → Document verification → Entrance exam/JEE score → Merit list → Counseling → Fee payment → Admission confirmation,admission,admission_process
When does PDEU admission start?,PDEU admissions typically start in April-May each year. Check the official website for exact dates.,admission,admission_process
What documents are required for admission?,10th & 12th mark sheets photocopies passport size photos JEE scorecard caste certificate (if applicable) income certificate (for scholarships),admission,admission_process
Is there an entrance exam for PDEU?,PDEU accepts JEE Main scores. They also conduct their own entrance exam PDET for some programs.,admission,admission_process
What is the eligibility criteria for B.Tech?,Passed 12th with Physics Chemistry Mathematics minimum 50% marks valid JEE Main score or PDET score,eligibility,eligibility
Can I get admission without JEE?,Yes through PDET (PDEU Entrance Test) or management quota with good 12th percentage.,eligibility,eligibility
What is the minimum percentage required?,Minimum 50% in 12th standard with PCM for general category. Relaxation for reserved categories.,eligibility,eligibility
What is the fee structure for B.Tech?,Tuition fee: ₹2,25,000 per semester. Total annual fee including hostel: approximately ₹5,50,000,fees,fees
Are there any scholarships available?,Merit-based scholarships up to 100% fee waiver need-based scholarships sports scholarships minority scholarships,fees,scholarship
How much is the hostel fee?,Hostel fee ranges from ₹80,000 to ₹1,20,000 per year depending on room type and facilities.,fees,hostel
What is included in hostel facilities?,AC/Non-AC rooms WiFi mess facility laundry 24x7 security medical facility recreational areas,hostel,hostel
Is hostel mandatory for first year?,Hostel is not mandatory but highly recommended for outstation students for better campus experience.,hostel,hostel
How are the placements at PDEU?,Excellent placement record with 85%+ placement rate. Average package: ₹6-8 LPA Highest: ₹50+ LPA,placement,placement
Which companies visit for placements?,Top recruiters: TCS Infosys Wipro Reliance L&T Adani Microsoft Amazon Google Accenture,placement,placement
What is the average salary package?,Average package ranges from ₹6-8 LPA. For CSE/IT: ₹8-12 LPA. For core branches: ₹5-7 LPA,placement,placement
How can I contact PDEU admissions?,Email: admissions@pdeu.ac.in Phone: +91-79-23275060 Address: Raisan Gandhinagar Gujarat 382007,contact,contact
What courses are offered at PDEU?,B.Tech: CSE IT ECE Mechanical Civil Chemical Petroleum. Other: MBA MCA M.Tech PhD programs,courses,courses
What is PDEU ranking?,NAAC A++ accredited. Ranked among top 100 engineering colleges in India. QS ranking in 801-1000 band.,ranking,ranking
Is PDEU a good university?,Yes PDEU is highly reputed with excellent faculty infrastructure industry connections and placement record.,ranking,ranking
What is the campus size?,PDEU has a sprawling 315-acre green campus with state-of-the-art facilities and modern infrastructure.,general,general
Where is PDEU located?,PDEU is located in Raisan village near Gandhinagar Gujarat about 23 km from Ahmedabad.,general,contact
What is the student strength?,PDEU has approximately 8000+ students across all programs with a healthy student-faculty ratio.,general,general
Are there sports facilities?,Yes PDEU has excellent sports facilities including cricket ground basketball volleyball tennis badminton swimming pool gym.,facilities,general
What about library facilities?,Central library with 1,00,000+ books digital resources 24x7 access e-journals and research databases.,facilities,general
Is there medical facility on campus?,Yes 24x7 medical center with qualified doctors and ambulance facility available on campus.,facilities,general
What is the dress code?,Smart casual dress code. No specific uniform but decent formal/semi-formal attire expected.,general,general
Are laptops mandatory?,Yes personal laptop is mandatory for all engineering students. Minimum configuration requirements are specified.,general,general
What is the attendance requirement?,Minimum 75% attendance is mandatory for appearing in semester exams as per university norms.,academic,general
How many semesters in B.Tech?,B.Tech is a 4-year program with 8 semesters. Each semester is approximately 6 months duration.,academic,general
What is the grading system?,PDEU follows 10-point CGPA system. Grade A+ = 10 A = 9 B+ = 8 and so on.,academic,general
Are there internship opportunities?,Yes mandatory internships in 6th/7th semester. Industry tie-ups provide excellent internship opportunities.,academic,placement
What about research opportunities?,PDEU encourages research with well-equipped labs funded projects and opportunities to publish papers.,academic,general
Is there a coding culture?,Strong coding culture with programming clubs hackathons coding competitions and tech fests regularly organized.,academic,courses
What programming languages are taught?,C C++ Java Python JavaScript HTML CSS SQL MATLAB and other domain-specific languages.,academic,courses
Are there technical clubs?,Yes multiple technical clubs: Robotics AI/ML Cybersecurity Web Development Mobile App Development clubs active.,clubs,general
What cultural activities are available?,Annual cultural fest Petrichor various cultural clubs dance music drama literary activities throughout the year.,clubs,general
Is ragging allowed?,Absolutely no ragging. PDEU has strict anti-ragging policies and zero tolerance towards any form of ragging.,safety,general
What about campus security?,24x7 security with CCTV surveillance trained guards and secure entry/exit points ensure campus safety.,safety,general
Are girls safe on campus?,Yes completely safe environment for girls with separate hostels security measures and women safety committee.,safety,general
What is the faculty qualification?,Highly qualified faculty with PhD from IITs/NITs/foreign universities and significant industry experience.,academic,general
